market,name,status,http_code,content_type,bytes,path,sha256,url
jp,JP-CONSUMER-CONTRACT Consumer Contract Act,ok,200,text/xml,249644,jp/JP-CONSUMER-CONTRACT_Consumer_Contract_Act.xml,6b173cdb165c0681fe624661d1497a956489a682e239aaac0ed9d8fd6b27a2d4,https://laws.e-gov.go.jp/api/1/lawdata/412AC0000000061
jp,JP-DENANHO Electrical Appliance and Material Safety Act,ok,200,text/xml,225372,jp/JP-DENANHO_Electrical_Appliance_and_Material_Safety_Act.xml,f340c4bfadd6c51fad3fd0e9ceafb09cc3561d9795d1e8d1401371a10beedbd6,https://laws.e-gov.go.jp/api/1/lawdata/336AC0000000234
jp,JP-HOUSEHOLD-GOODS Household Goods Quality Labelling Act,ok,200,text/xml,77895,jp/JP-HOUSEHOLD-GOODS_Household_Goods_Quality_Labelling_Act.xml,039689fd161919d1f68821b4e56bd888d15046840bf443018d007f8d454c29fb,https://laws.e-gov.go.jp/api/1/lawdata/337AC0000000104
jp,JP-KEIHYO Act against Unjustifiable Premiums and Misleading Representations,ok,200,text/xml,192209,jp/JP-KEIHYO_Act_against_Unjustifiable_Premiums_and_Misleading_Representations.xml,98998275d7bf8454d769f5544fb04f3feb6620662f943f2a26306956f6aef557,https://laws.e-gov.go.jp/api/1/lawdata/337AC0000000134
jp,JP-PHARMACEUTICAL Pharmaceutical and Medical Device Act,ok,200,text/xml,1581078,jp/JP-PHARMACEUTICAL_Pharmaceutical_and_Medical_Device_Act.xml,af0ba349d8079d9ffd879a9e49c3fd159e5ce837850c0836c761572a2f13ad26,https://laws.e-gov.go.jp/api/1/lawdata/335AC0000000145
jp,JP-PRODUCT-SAFETY Consumer Product Safety Act,ok,200,text/xml,85781,jp/JP-PRODUCT-SAFETY_Consumer_Product_Safety_Act.xml,568d57f81a089ef62f604c1dc96dd290d009e2b6ac98ae78fdf28f8c35e4a086,https://laws.e-gov.go.jp/api/1/lawdata/419AC0000000048
ke,KE Kenya Law 法规库,http_403,403,,0,,,https://new.kenyalaw.org/
ke,KE 消费者保护法 2012 (Kenya Law),http_403,403,,0,,,https://new.kenyalaw.org/akn/ke/act/2012/46/eng@2012-12-31
kh,KH 司法部,ok,200,text/html,55335,kh/KH_司法部.html,dcdd8beb086c7b1c3a421866d3e4e6d7e050770ab40442a5db8d2619c11e6a63,https://www.moj.gov.kh/
kh,KH 消费者保护法 (MOJ),ok,200,text/html,55335,kh/KH_消费者保护法_MOJ.html,dcdd8beb086c7b1c3a421866d3e4e6d7e050770ab40442a5db8d2619c11e6a63,https://www.moj.gov.kh/
kr,KR 国家法令信息中心 (KLRI 英文),ok,200,,165773,kr/KR_国家法令信息中心_KLRI_英文.html,70a1d94c9597aea07a6e499cd43265340f63debd089af83dfde0b8f8f25ae803,https://elaw.klri.re.kr/eng_service/main.do
kr,KR 国家法令信息中心 英文 (KLRI),ok,200,,165773,kr/KR_国家法令信息中心_英文_KLRI.html,70a1d94c9597aea07a6e499cd43265340f63debd089af83dfde0b8f8f25ae803,https://elaw.klri.re.kr/eng_service/main.do
kr,KR 法令信息中心 (law.go.kr),ok,200,text/html,261,kr/KR_法令信息中心_law.go.kr.html,3faf51167bd3f95d18c86d05b2610159faac03ab5e398502621f1b03a34bfd8b,https://www.law.go.kr/
kz,KZ Adilet 法规库,ok,200,text/html,2778,kz/KZ_Adilet_法规库.html,0bdeb23dd5a2b2bcdbd5d88ec37e1c47bcba03c30d10f371b965e317043471f5,https://adilet.zan.kz/
